,title,views,description,likes,date
116,LE BON PARRAIN (59),24,Le Bon Parrain est un site de parrainage qui permet aux utilisateurs de se faire parrainer rapidement et facilement ! Cette mise en relation permet au filleu...,1,03-27
117,OTÉ (75),15,"OTÉ souhaite faire découvrir une cuisine réunionnaise savoureuse et originale, tout en proposant une expérience culinaire chaleureuse et intense pour les ave...",0,03-27
118,OHMYVAN (13),35,OHMYVAN souhaite faciliter le voyage en itinérance en véhicule aménagé en créant la maison sur roue des aventuriers.- Projet porté par Elsa ZapataPour suivre...,3,03-27
119,MOBILEAZ (59),411,MOBILEAZ est une plateforme de location de mobilier et d'électroménager entre particuliers qui favorise l’économie circulaire et d’usage. Elle répond aux pro...,127,03-27
120,COUP DE POUSSE (69),68,COUP DE POUSSE est un projet de titre-restaurant qui permet le financement de projet de résilience agricole.- Projet porté par Sophia AkmtPour suivre le Moov...,4,03-27
121,PULSAE (90),31,"PULSAE propose un dispositif de déclenchement intelligent de batterie de vélo électrique pour les personnes en insuffisance cardiaque. Ce dispositif va, en f...",3,03-27
122,4BONI (75),174,4boni est un marketplace réservé aux étudiants adin de les aider à lutter contre la précarité et l'isolement en créant un écosystème dédié.Projet porté par A...,12,03-27
123,STORMZ (69),664,"STORMZ est une marque pour équiper les danseurs urbains (hiphop, breakdance) avec des produits résistants, sécurisants et tendances.- Projet porté par Clélia...",190,03-27
124,IZOM ATHLETIQUE (94),970,"IZOM Athlétique proposera un baume chauffant solide et rechargeable pour aider les sportifs à bien s'échauffer. Par la suite, ils développeront une gamme com...",319,03-27
125,L'ATELIER DU GATO (45),541,L'Atelier du GatO vise à rendre accessible la pâtisserie aux personnes intolérantes et allergiques au gluten. Briser les idées reçues sur la pâtisserie sans ...,122,03-27
126,VIRTUOUS (74),180,"Virtuous connecte marques, associations, internautes et créateurs de contenu pour s'engager ensemble à construire le monde. Créer un système vertueux pour fa...",36,03-27
127,PHYSIS (2B),23,"PHYSIS améliore la sécurité des populations. En effet, que ce soit ses activités de conseil, de bureaux d'études ou encore de la gestion d'application, tout ...",2,03-27
128,TINY FUNGI (30),675,Tiny Fungi propose une alternative écologique et durable à la construction traditionnelle et fournit une solution de remplacement aux isolants synthétiques n...,261,03-27
129,CAVALONS (69),145,"La raison de CAVALONS est de faciliter la mise en relation entre propriétaires et cavaliers de manière rapide, simple et sécurisée. Notre mission est de démo...",3,03-27
130,STUDIO TALISMAN PARIS  (93),16,Studio Talisman Paris réinvente des vêtements et accessoires de seconde-main en les brodant. Elle a pour mission de redonner du sens au vêtement et à sa fabr...,0,03-27
131,DALISSIER (75),661,"DALISSIER offre une gamme de pâtisserie fine moderne avec des produits français, des viennoiseries insolites à partager, une chocolaterie gourmande à base de...",147,03-27
132,SEQUENCY (69),64,"SEQUENCY est une solution éducative ludique et interactive qui permet aux enfants d'apprendre les bases de la logique informatique sans écran, grâce à des bl...",1,03-27
133,SECONDE CHANCE (75),23,SECONDE CHANCE est une association qui permettra aux enfants malades de partager un moment d'évasion et de leur faire ressentir qu'ils sont acceptés tels qu'...,1,03-27
134,REFRESH YAH (06),24,"La mission de Refresh Yah est d'amener les consommateurs à consommer mieux et davantage de fruits et légumes, grâce à un en-cas protéiné et gourmand.- Projet...",0,03-27
135,LA BOX DES VINTIES (38),32,LA BOX DES VINTIES promeut l'économie circulaire dans les dressings en proposant un service de box de vêtements de seconde main qui permet de régler tous les...,1,03-27
136,DILO (75),42,"DILO propose un service de réservation de prestations de services à domicile pour seniors souhaitées, entièrement en ligne. À cette plateforme se rajoute un ...",2,03-27
137,UNICY (44),1566,"UNICY accélère le passage à la mobilité verte en développant une nouvelle transmission de vélo par cardan, robuste et fabriquée localement. Elle est en cours...",553,03-27
138,FEDHUBS (75),31,FEEDS HUB propose un outil de visibilité digitale qui recense les commerces écoresponsables qui organisent des événements variés et vendent également un logi...,4,03-27
139,KAWABSOR'BRA (91),709,- Projet porté par Hawa BaradjiPour suivre le Moovjee : Site : https://www.moovjee.frFacebook : https://www.facebook.com/moovjeeTwitter : https://twitter.com...,244,03-27
140,ALLITRADOR (35),79,"Allitrador est une entreprise de traduction au service des TPE, PME et associations qui souhaitent croquer à pleines dents dans leur ouverture vers l'interna...",0,03-27
141,HUMAYA (75),45,HUMAYA développe des chaussures colorées en cuir upcyclé haut de gamme pour femmes conçue de façon écoresponsable.- Projet porté par Pauline RobertPour suivr...,3,03-27
142,GULLU (31),1308,"GULLUest un réseau social innovant, facilitateur de revoyure et vecteur pour le tourisme durable. La mission est de rassembler une communauté régie par les m...",383,03-27
143,MAISON WELLYNGTON (94),284,"La MAISON WELLYNGTON est spécialisée dans la création de tenue de cérémonie sur-mesure, vente de figurine de mode, bijoux et autre accessoires.- Projet porté...",46,03-27
144,ITRIDES (44),110,ItRides propose des solutions de carnets d'entretiens dématérialisés accessible via un sticker contenant une puce.- Projet porté par Loukas PautonnierPour su...,15,03-27
145,ROOOM APP (75),24,ROOOM est une application qui aide les participants d’un même événement festif à créer plus facilement des relations entre eux.- Projet porté par Alexandre d...,3,03-27
146,MA PETITE MALLE D'ÉVEIL (37),452,"Ma Petite Maille d'Éveil propose des bouteilles sensorielles made in France, écologique et respectueuses de l'environnement.- Projet porté par Laurie Verhels...",83,03-27
147,VITA LIVE PRO (94),475,VITA LIVE PRO est une plateforme web et mobile qui met en relation des résidents en EHPAD et des passionnés à proximité pour faire des activités divers et va...,113,03-27
148,MON OUTFIT (33),282,"Mon Outfit se veut actrice sociale à travers l'habillement pour un public négligé par les préjugés de la société, en les aidant dans leurs insertion personne...",71,03-27
149,SENSOBOX (78),23,SENSOBOX éveille les sens au travers d'un choix d'activités sensorielles insolites à vivre en solo ou à deux à Paris et Bordeaux aux côtés d'experts passionn...,1,03-27
150,JANE (44),138,JANE est une plateforme permettant de diminuer la facture énergétique des collectivités en distribuant leur surplus de production à leur bâtiments communaux ...,16,03-27
151,PASSIFLORA APP (44),706,PASSIFLORA APP est une application qui informe et soutient les personnes atteintes de phobie scolaire ainsi que leur entourage vers le chemin de la guérison....,164,03-27
152,COBALT CONTRACEPTION (78),645,"COBALT CONTRACEPTION souhaite mettre sur le marché une contraception masculine naturelle, réversible et non-invasive grâce à un boxer de contraception mascul...",150,03-27
153,MAISON DÉMESURE (24),334,MAISON DÉMESURE est un bureau d'étude qui va accompagner des créateurs/créatrices pour développer leur collection de lingerie. Ils proposent un accompagnemen...,38,03-27
154,QUELYS (31),31,QUELYS a pour vocation d'accompagner l'humain & l'entreprise vers la mise en place d'un fonctionnement managérial innovant en complément de l'apport de conse...,2,03-27
155,TRACKPOINT (75),306,"TRACKPOINT a pour mission de faire de la glisse qu’une partie de plaisir. Aide à la planification et à l’organisation, TrackPoint s’engage à libérer la charg...",82,03-27
156,OSAM (69),702,"OSAM est une ligne textile vélo urbain permettant aux cyclistes de se déplacer en étant au sec, au chaud, visible et élégants. En d'autres termes : ne plus f...",188,03-27
157,MEETIT (13),34,MEETIT est une application qui permet de réduire le gaspillage alimentaire et améliore son pouvoir d’achat en proposant de récupérer à manger des surplus de ...,5,03-27
158,MEXA (03),312,"Mexa conçoit des jeux et outils pédagogiques adaptés à tous les enfants pour permettre l'inclusion et le vivre ensemble. Ils ont à cœur d'aider les enfants, ...",64,03-27
159,ECODESK (34),33,"ECODESK est un service de reconditionnement de calculatrices scolaires, à destinations des étudiants issus des QPV/REP. ECODESK achète les calculatrices aux ...",2,03-27
160,ENYO WOMEN'S FIGHTWEAR (44),199,"Enyo women's fightwear souhaite briser les préjugés sur la pratique féminine des sports de combat en proposant des vêtements techniques, confortables et adap...",41,03-27
161,PLANEARIA (30),194,"PLANEARIA est une plateforme permettant d'organiser, planifier et partager des voyages sur mesure pour des groupes grâce à un savoureux mélange d'habitudes d...",41,03-27
162,MODE EUROPÉENNE (75),43,"Mode Européenne propose des vêtements, chaussures, sacs, accesoires de mode qui proviennent des dons de particuliers ou des marques afin de les proposer à pr...",2,03-27
163,EVE (75),184,"EVE est une plateforme qui permettra à tous de s'organiser en groupe de manière simple, efficace et gratuite.- Projet porté par Maxime BarouilletPour suivre ...",64,03-27
164,SOLTEO (75),26,SOLTEO développe un logiciel à destination des installateurs photovoltaïques pour leur permettre d'être plus efficaces sur leur tâches support et administrat...,1,03-27
165,TRASHTAG (75),152,"TRASHTAG relie les associations de clean walking et les entreprises pour compenser l'impact environnemental. Utilisant les nouvelles technologies, nous encou...",48,03-27
166,LOUISMANSOUR (75),114,LouisMansour propose une gamme de prêt-à-porter et d'accessoires haut de gamme. Des produits genderless imaginés et confectionnés en France. Proposer un univ...,21,03-27
167,MOVENDO (69),25,MOVENDO accompagne les structures à sensibiliser leur public à la santé mentale grâce à des ateliers et formations engageantes à la fin desquels sont distrib...,0,03-27
168,MADAME BEANS (49),420,Madame Beans a pour vocation de devenir une entreprise de transformation agroalimentaire de légumes secs en aides culinaires/PAI (Produits Alimentaires Inter...,112,03-27
169,SNB (29),20,SnB accompagne à la transition environnementale des organisations et leur fournit une expertise de conseil en stratégie produit et process.- Projet porté par...,0,03-27
170,L'ÉNERGÉTICIEN (20),32,La raison d'être de l'énergéticien est simple : être acteur de la transition énergétique en étant le référent sobriété des entreprises sur les aspects énergi...,3,03-27
171,GYMAPP (75),564,"GYMAPP c'est la communauté sport fitness et nutrition qui va aider les particuliers à atteindre leurs objectifs sportifs, grâce à la dynamique de groupe, l'e...",147,03-27
172,RAFNEE (94),42,"RAFNEE est un kit dans lequel on retrouvera l'application en AR pour la formation et/ou de la sensibilisation, des accessoires de AR et des quizz pour des sé...",3,03-27
173,IMPRUDENCE DES VOYAGES (76),32,"Imprudence des voyages souhaite démocratiser le voyage en immersion culturelle, promouvant le tourisme durable et sortant les voyageurs des sentiers battus. ...",4,03-27
174,GOUSSY (68),170,"GOUSSY proposera un repas complet, sain et savoureux pratique à emporter dans la poche. Il sera rassasiant, apportera tous les nutriments nécessaires afin d’...",36,03-27
175,LIM COMMUNICATION (67),33,"Lim Communication est une agence de communication indépendante qui propose des services de rédaction de contenus web, community management, social media mana...",1,03-27
176,TRÉVIA (34),106,"TREVIA est une application pour gérer toutes les étapes du voyage, de la comparaison à la réservation des d'hébergements et d'activités, conçue pour simplifi...",21,03-27
177,TAFTAVIE (59),239,TAFTAVIE est une plateforme de mise en relation entre étudiants motivés et talentueux et des entreprises désireuses de se développer en aidant un jeune à dév...,66,03-27
178,MA CHAMELLE SUCRÉE (59),440,"Ma Chamelle Sucrée a pour mission de rendre accessible à tous la pâtisserie marocaine, sous forme de kit, tout en luttant contre le gaspillage alimentaire.- ...",129,03-27
179,ULEX (54),87,ULEX propose une nouvelle technologie qui formule un complexe de molécules (molécules actives avec des métaux sous forme colloidale) spécifiques pour des app...,15,03-27
180,TRAVAUXETMEUBLES.COM (84),165,TRAVAUXETMEUBLES.COM est un accélérateur d’investissement. TRAVAUXETMEUBLES valorise vos ventes dans l’immobilier ancien grâce à un processus comprenant : Vi...,41,03-27
181,SANEE (89),142,"SANEE offre des produits cosmétiques 100% naturels sous forme de baumes et savons , fabriqués en France, sourcés en Afrique.- Projet porté par Marion SANGENI...",27,03-27
182,VALORIZ'ME (49),75,"VALORIZ'ME crée, développe et commercialise des snacks protéinés 100% naturels (0 sucres ajoutés, 0 additifs, 0 isolats, 0 conservateurs) à destination de la...",10,03-27
183,NOVA (75),190,NOVA est la première marque digitale française à offrir une plateforme d'IA collaborative pour accompagner la transformation digitale des ETI/PME en numérisa...,51,03-27
184,BEAUTYFOOD (91),789,"BEAUTYFOOD propose une alternative saine, pratique, gourmande et efficace aux compléments alimentaires classiques en offrant une gamme de compléments aliment...",62,03-27
185,YESOUICOOK (75),177,YESOUICOOK offre aux entrepreneurs culinaires une solution rentable pour développer leur entreprise sans avoir à investir dans leur propre infrastructure et ...,58,03-27
186,DELISPEED (59),287,DeliSpeed est une plate-forme (site + appli) permettant aux utilisateur de passer une commande auprès de leurs magasins préférés et d'être livrés par des  pa...,85,03-27
187,DYNASTY OF WO/MEN (31),54,DYNASTY OF WO/MEN proposera la vente des tee-shirt de fabrication éco responsable avec un panel de tailles allant du XXS au XXL sur lesquels seront apposés d...,6,03-27
188,P'TIT ROUDOUDOU (54),887,P'tit Roudoudou est une entreprise de confection d’articles de puériculture qui a pour objectif de proposer aux parents des articles de qualité supérieur sel...,181,03-27
189,DISCOVER (69),41,DISCOVER propose des interventions de professionnels présentant leur parcours scolaire et professionnels dans différents organismes afin de donner une autre ...,1,03-27
0,NEWSERS (69),1505,"NEWSERS est une application qui offre de l’information à travers trois interfaces (articles, SWIPE, et communautaire). Newsers est donc une solution de débat...",176,03-28
1,B.Y.O DESIGNER (94),555,"La raison d'être de B.Y.O. Designer est de permettre à tout un chacun d'être le créateur, le styliste de ce qu'il porte.- Projet porté par Mariam TambouraPou...",79,03-28
2,EDUCATION DU CHEVAL (83),1723,La mission d'EDUCATION DU CHEVAL est de faire évoluer l'équitation vers des pratiques plus justes et éthiques pour l'animal afin de diminuer le nombre d'acci...,324,03-28
3,CENTRAL EVENTS (90),172,"CENTRAL EVENTS souhaite créer et développer une plateforme de mise en relation entre les prestataires liés à l'événementiel et leurs clients, afin de simplif...",4,03-28
4,LOOSE SOULS (31),169,La raison d'être de LOOSE SOULS c'est représenter les artistes féminines et non binaires sur la scène musicale. Ils proposent de présenter ces artistes par l...,1,03-28
5,L'IDÉE D'UNE BOITE (95),819,L'IDÉE D'UNE BOITE souhaite développer des boîtes mystères thématiques interactives qui permettent de vivre une expérience lors de l’ouverture séquencée et p...,110,03-28
6,SKANERS (92),184,"SKANERS est une application qui permet d’identifier et acheter les paires de sneakers qui vous entourent avec une photo ! Autrement dit, c'est le ""Shazam"" de...",4,03-28
7,ALGUP (06),734,AlgUp développe un bioréacteur qui permet de produire de la spiruline fraîche chez soi et sans entretien. Conçu pour être à la fois esthétique et facile d’ut...,115,03-28
8,KOOKABURRA KOMBUCHA (59) Kookaburra Kombucha,270,"KOOKABURRA KOMBUCHA propose la vente de Kombucha, une boisson asiatique.- Projet porté par Elise GensPour suivre le Moovjee : Site : https://www.moovjee.frFa...",4,03-28
9,RENTY (75),358,"RENTY est une plateforme en ligne pour la location d'équipements sportifs entre particuliers, et une assurance facultative pour les locataires pour couvrir l...",30,03-28
10,RACE&LOCK (92),1318,"RACE&LOCK propose un cadenas de vélo à triple usage, offrant aux vélos urbains ou électriques un porte-bagages et aux vélos sportifs une position de course a...",241,03-28
11,24-7 (67),1174,"24-7 souhaite fournir des aliments durables et nutritifs, sans compromis sur le goût, la qualité et le prix afin de créer un avenir meilleur et plus sain pou...",108,03-28
12,BECOME (67),142,"BECOME souhaite faciliter la prise de décisions complexe par la réécriture rapide et neutre de votre démarche et situations.Adopter des comportements, compét...",0,03-28
13,TALEOS (77),81,TALEOS est une application de réveil personnalisée selon son chronotype qui améliore son sommeil et ses performances cognitives pour optimiser son temps chaq...,1,03-28
14,NYMPHEIASHOP (35),100,NYMPHEIASHOP crée des oeuvres au format numérique mais également des illustrations sous forme de produits physiques tels que des cartes postales et des badge...,12,03-28
15,STUDPRO (75),110,STUDPRO est une application web et mobile pensée pour révolutionner le quotidien des étudiants. Elle permettra aux étudiants de trouver leur entreprise d’acc...,7,03-28
16,ARTY SQUAD (75),272,ART-SQUAD accompagne les entreprises soucieuses d'améliorer leur expérience collaborateur et l'engagement de leur équipe grâce à l'art et à la culture afin d...,38,03-28
17,THE OFFSZN (69),469,La raison d'être d'OFFSZN est de créer un mouvement social et inclusif autour de la pratique du basket en France en créant des opportunités sociales et sport...,66,03-28
18,HOLMI (94),513,HOLMI propose des vêtements éthiques et éco-responsables. Ils prennent le temps de développer chaque pièce pour qu'elles conviennent à un maximum de morpholo...,100,03-28
19,POGUISURF (59),254,"POGUISURF propose une location longue durée d'une planche de surf éco-responsable qui est produite localement, réparable et avec une durée de vie 5 fois supé...",27,03-28
20,BE BUDDY (69),102,La mission de BE BUDDY est d'offrir une nouvelle façon de voyager au plus proche de la culture locale grâce à un guide digital personnalisé. Ils ont à coeur ...,7,03-28
21,TOGÆTHER (34),729,"TOGÆTHER est une application directement sur le mobile des spectateurs ainsi qu'un appareil de géolocalisation positionné sur les sportifs. Les deux liés, on...",87,03-28
22,DOUCEUR DANS L'HAIR (22),189,DOUCEUR DANS L'HAIR a pour projet de développer des gammes de produits capillaires pour cheveux texturés à base de beurres et d'huiles végétales afro-caraibé...,57,03-28
23,NEATY (83),46,"NEATY a pour objectif de développer une marque de produits de première nécessité écoresponsable (rechargeables), avec une composition saine mais également in...",1,03-28
24,YUKI (13),287,YUKI propose des jeux uniques et personnalisés qui rapprochent les gens !- Projet porté par Benoit CatanesePour suivre le Moovjee : Site : https://www.moovje...,46,03-28
25,RECIT (94),75,"Avec RECIT, concevez le livre des moments les plus importants de votre vie à transmettre à vos proches. Enregistrez les histoires de vos proches. Ces dernièr...",11,03-28
26,KASSY (75),180,KASSY est une société commerciale qui a pour objectif de faire découvrir aux consommateurs des produits artisanaux provenant de différentes régions du monde....,18,03-28
27,OVA DETECH (17),1123,OVA DETECH accompagne toutes les femmes du début de leur vie sexuelle jusqu’à la ménopause en leur permettant de mieux connaitre leur cycle et donc d’adapter...,176,03-28
28,MELOTICK (92),247,"MELOTICK est une plateforme culturelle regroupant un agenda culturel pour trouver des événements culturels en France, une bourse aux billets pour acheter ou ...",41,03-28
29,V.UBIK (57),109,V.UBIK veut intégrer le marché de l'esport en diffusant les différentes parties League of Legend à travers un avatar dans une salle afin de pouvoir partager ...,15,03-28
30,PERLA MODA (35),94,Perla Moda propose à ses clients des accessoires durables en perles faits à la main qui allient créativité et esthétique pour rendre le luxe d’un bijou ou d’...,15,03-28
31,HORMONE.IA (75),112,HORMONE.IA développe le premier assistant de fertilité pour couple. Ce dispositif médical (DM) permettra d'accompagner hommes et femmes dans leur parcours de...,15,03-28
32,AULIA (59),211,La mission d'AULIA est de soulager l'aidant familial dans l'organisation de la dépendance d'une personne en perte d’autonomie à domicile.- Projet de Jade Nue...,35,03-28
33,DYOQAR (59),63,DYOQAR propose du matériel sportif durables et uniques pour les activités de sport & bien-être à domicile fabriqués à partir de matières bioscourcées.- Proje...,1,03-28
34,PAVENROD (74),326,PAVENROD est né de la volonté de préserver la montagne en développer un vestiaire complet homme / femme de vêtements outdoor performants made in France en ma...,74,03-28
35,MINUIT BLONDE (13),1088,MINUIT BLONDE est une agence artistique qui propose :- La vente en ligne de pièces produites par des créateurs indépendants- L'organisation d'évènements cult...,238,03-28
36,OPENDO (57),39,"OPENDO est une épicerie nocturne lambda spécialisée dans les produits exotiques et multiculturels, notamment avec un étalage de fruits et légumes tropicaux, ...",1,03-28
37,TASH (44),35,TASH souhaite devenir la plateforme référente pour la création de marque de mode originale et responsable. TASH permet aux créateurs de contenu de facilement...,1,03-28
38,CELESTINE HAIR MAKEUP ARTIS (59),68,CELESTINE HAIR MAKEUP ARTIST propose des prestations de maquillage.- Projet porté par Célestine HelynckPour suivre le Moovjee : Site : https://www.moovjee.fr...,4,03-28
39,REVOLEAF (31),44,"REVOLEAF propose une culture végétale à base de lentille d'eau. Cette culture amène un nouveau produit frais avec qualités nutritionnelles essentielles, une ...",1,03-28
40,FREE2BET (57),47,Free2bet est une application mobile de paris sportifs gratuits. Ici pas d'argent en jeu mais des crédits virtuels qui peuvent ensuite être échangés contre de...,0,03-28
41,SAUVÈ (69),51,"SAUVÈ, ce sont des barres nutritionnelles naturellement riches en fer qui permettent d'optimiser et de renforcer les apports en fer au quotidien.- Projet por...",0,03-28
42,LES BELLES TRUFFES (92),894,Les Belles Truffes ont pour mission de contribuer aux bien-être des chiens en proposant un service premium et ultra-personnalisé de micro-crèche canine . Par...,175,03-28
43,HAPPYPRO (17),658,"HappyPro met en relation des professionnels et des particuliers pour du service à domicile de courte durée (PetSitting/Ménage/..). Le concept, regrouper les ...",149,03-28
44,MADE IN CLÉMENCE (49),48,"Via le processus de surcyclage (ou upcycling), Made In Clémence  transforme les déchets textiles en produits responsables proposés aux particuliers et aux pr...",2,03-28
45,IKIDAÏ (59),43,"IKIDAÏ développe des bornes interactives et créatives pour enfants. Créatrices de lien social entre enfants et avec leurs accompagnateurs, leurs bornes perme...",0,03-28
46,HELLO WASTE (22),89,Hello Waste a pour objectif de protéger l'humain et l'environnement. Ils imaginent les objets de demain avec les déchets d'aujourd'hui en proposant de la fab...,3,03-28
47,COSPLAY SMART (83),363,COSPLAY SMART est un projet de boutique en ligne de vente de produit pour la réalisation de costume cosplay et un service de réalisation de costume sur-mesur...,87,03-28
48,SAMADHA (69),189,SAMADHA est une boutique en ligne dédiée à l’Ayurvéda qui sélectionne les meilleures marques de produits et propose des outils pratiques et inspirants pour v...,49,03-28
49,BLOOSENS (75),1371,La mission de BLOOSENS est d'apporter une solution à toutes les personnes gênées par leurs douleurs menstruelles. Soulager leur quotidien en leur apportant u...,299,03-28
50,PHEASE (74),40,PHEASE met à disposition des projets à impact grâce à une plateforme qui assure la transparence de leurs fonds et mettre en avant l'impact réalisé. Cette pla...,1,03-28
51,LCDG (64),726,"LCDG souhaite rendre accessible la communication physique de produits ou de services plus éthiques, tout en apportant un complément de revenu sans effort sup...",170,03-28
52,MITUP (95),93,MITUP favorise l'insertion des jeunes talents sur le marché de l'emploi et les accompagner dans leur entrée dans la vie active.  Le service proposé est un ab...,15,03-28
53,MOKILO PACKAGE (44),68,Mokilo Package est une plateforme marketplace de co-bagage qui connecte les voyageurs pour qu'ils partagent les frais de transport de leurs bagages. Un servi...,4,03-28
54,GREEZ (28),58,"Greez est une plateforme E-commerce spécialisée dans la gestion d’invendus cosmétiques. Les professionnels, distributeurs qui ont des produits invendus les s...",3,03-28
55,ASYORA (92),172,ASYORA est un outil de collaboration permettant de repenser la notion de réunion en entreprise.- Projet porté par Paul-Emmanuel BrouxPour suivre le Moovjee :...,31,03-28
56,KAYLO (91),77,"Kaylo est une application mobile qui permet de faire ses courses et de commander son panier en livraison, en click & collect dans le supermarché où son panie...",1,03-28
57,SIZZY (75),35,"SIZZY ce sont chaussures grandes tailles modernes qui tiennent compte des complexes créés par la société. Notre marque offre la disponibilité, la modernité e...",5,03-28
58,MILLENIUM (97),144,MILLENIUM est un service de restauration gastronomique qui propose des plats originaux et revisités pour vous faire voyager.- Projet porté par Dylan Mangalam...,31,03-28
59,FIN MUSEAU (40),164,"FIN MUSEAU propose des friandises et compléments alimentaires pour chien à base de super-aliment (chanvre, spiruline et moringa) 100% naturel, sans céréales,...",31,03-28
60,FITOUXE (75),1049,FITOUXE est une application mobile qui a pour vocation de centraliser ce qui se fait de meilleur en terme d'application d'accompagnement sportif et nutrition...,215,03-28
61,TAKOTAK (13),193,"TAKOTAL est un projet de restauration rapide, saine et locale en click&collect, drive et casiers réfrigérés. Leur mission est de proposer une alternative plu...",19,03-28
62,EQTAS.E (37),336,"EQTAS.E est une association de prévention santé, par et pour les personnes LGBTQIA+ et/ou celles ayant un handicap. Ils oeuvrent pour réduire les inégalités ...",93,03-28
63,AQUAEDEN (78),499,"AQUAEDEN a pour objectif de construire un monde meilleur pour les générations futures, au travers du respect de l’environnement et de l’agroalimentaire ; grâ...",105,03-28
64,VENOVIA (75),214,Venovia a pour objectif de faire oublier la contrainte et simplifier la prise des multiples médicaments au quotidien pour les personnes atteintes de maladies...,65,03-28
65,SLOW GO (67),299,"SLOWGO est une agence de voyage éco responsable qui propose des itinéraires à faible émission de CO2. Avec SLOW GO, ce seront seulement des transports bas ca...",78,03-28
66,FOODYVOR (69),469,FOODYVOR est un concept d'accompagnement pour les créateurs culinaires pour donner de la visibilité aux concepts internationaux. Aider les passionnés de food...,154,03-28
67,NATUR'ÉVEIL (12),736,Le centre d'activités NATUR'ÉVEIL est un lieu d'accueil et d'apprentissage autour de la nature pour les enfants de 6 à 12 ans. C'est un moyen de sensibiliser...,179,03-28
68,BIODI (59),78,"BIODI accompagne les entreprises dans leur transition écologique avec des team building à impacts, des ateliers de construction, d'observation et de sensibil...",8,03-28
69,GATSBI (13),58,"GATSBI est une plateforme de vente de billets pour événements permettant aux promoteurs (BDE, artistes, etc.) de se connecter avec leur communauté et prestat...",0,03-28
70,DOGGY PARK (42),223,DOGGY PARK est un projet de parc de loisirs canin afin de créer un parc éco-responsable qui respecte du bien être animal.- Projet porté par Thomas FayantPour...,43,03-28
71,BOOBS (75),313,"Boobs améliore les équipements sportifs des femmes aux fortes poitrines pour qu’elles puissent faire du sport en bonnes conditions, tout en regagnant confian...",37,03-28
72,LES CENDRIERS DU LITTORAL (13),39,Les Cendres du Littoral propose un service d'implantation de cendriers urbains sur tout le littoral marseillais pour pallier à ce déchet trop présent. Des éq...,2,03-28
73,ILLICOGREEN (75),114,"ILLICOGREEN a pour ambition d'encourager les étudiants dans leur transition écologique malgré leur petit budget, leur manque de connaissance des alternatives...",23,03-28
74,CONNEC'TOOLS (58),410,Connec'Tools est là pour améliorer la productivité et l'organisation de son utilisateur et également pour lui faire économiser de l'argent. Ils proposent un ...,45,03-28
75,FLORIANE SCHMITT STUDIO (67),119,"FLORIANE SCHMITT propose un univers élégant et poétique, afin d'offrir à aux clients un style de vie harmonieux et paisible à travers Des collections de prod...",23,03-28
76,CRYSTALLUM (95),103,CRYSTALLUM est un projet de crédit de consommation aux utilisateurs qui lutte contre la pollution faite par le plastique. Les consommateurs sont rémunérés 10...,19,03-28
77,STUDENTS PLACE (59),55,STUDENTS PLACE est une entreprise qui vise à améliorer l'accueil des étudiants internationaux en France puis dans d'autres pays. Cette plateforme a été pensé...,0,03-28
78,Modu’LAB (51),299,"MODU’LAB propose des actions autour de l’éco responsabilité et de la culture. À ce titre, ils mettent en place des projets se modulant aux besoins de leurs p...",49,03-28
79,TOUROULE (33),62,"TOUROULE propose gratuitement une solution logicielle à télécharger (application mobile). Cette application communique avec des boîtiers de contrôle, à branc...",2,03-28
80,VISITCITY (93),61,"VISITCITY a pour mission de mettre en relation les voyageurs et les locaux pour favoriser les rencontres, les échanges et contribuer au développement économi...",4,03-28
81,ARC (35),319,"Dans une époque à forte mondialisation et de mobilité internationale, ARC souhaite rassembler des personnes de cultures différentes grâce à des  apprentissag...",70,03-28
82,DISCOREV (38),271,Discorev est une plateforme d’excursions authentiques annimées par des personnes passionnées et expérimentées.- Projet porté par Badiss BelhadjPour suivre le...,51,03-28
83,OODY (75),493,La raison d'être de OODY est de pouvoir protéger la planète tout en préservant le pouvoir d'achat des consommateurs. Leur mission est de réduire l'impact env...,104,03-28
84,MEKI MENSTRUATION (75),2615,"MEKI, c’est la marque de lingerie menstruelle thérapeutique 100 % confort, 100 % éco-responsable et 100 % made in France ! Leur but premier est de faciliter ...",904,03-28
85,COCON (42),1535,"COCON est un commerce multi espaces autour de la pâtisserie sans gluten et du partage. A travers leurs différents espaces, ils ont à cœur de mettre en avant ...",269,03-28
86,MEZ (94),66,"MEZ est la volonté de diversifier l’offre des spiritueux infusés / arrangés par d’autres alcools que le rhum, qui sont tout aussi légitimes de l’être par leu...",6,03-28
87,EDITIONS CORAMBÉ (57),220,"Les Editions Corambé propose des ebooks et des livres papier en impression à la demande, dans le genre de l’imaginaire pour normaliser des héros et héroïnes ...",36,03-28
88,FAMS (60),69,FAMS est une application de connexion entre des mentors étudiants et jeunes actifs à destination des lycéens.- Projet porté par Cécilia ThomasPour suivre le ...,2,03-28
89,BEACH CITY PARADISE (92),62,"BEACH CITY PARADISE souhaite diversifier les offres de sports praticables en région parisienne et de créer un centre sportif dédié aux sports de sable,- Proj...",0,03-28
90,NAMI (17),769,NAMI est un écosystème collaboratif qui contribue à la réduction des émissions de carbone et la valorisation des co-produits de l’industrie française par l’u...,150,03-28
